,name,price,pricing_changes,pricing_percentage_changes,sector,industry,market_cap,share_volume,earnings_per_share,annualized_dividend,dividend_pay_date,symbol_yield,beta
152,Canadian Natural Resources Limited Common Stock,60.89,+0.67,(+1.11%),Energy,Oil & Gas Production,"70,827,491,560","2,859,661",$5.17,$2.366,"Apr 5, 2022",3.17%,1.61
153,"Regeneron Pharmaceuticals, Inc. Common Stock",642.58,+12.22,(+1.94%),Health Care,Biotechnology: Pharmaceutical Preparations,"69,745,171,828","803,192",$72.08,N/A,N/A,N/A,0.18
154,Shopify Inc. Class A Subordinate Voting Shares,544.37,-8.81,(-1.59%),N/A,N/A,"68,564,343,804","2,736,063",$22.89,N/A,N/A,N/A,1.63
155,"EOG Resources, Inc. Common Stock",116.68,-3.20,(-2.67%),Energy,Oil & Gas Production,"68,306,708,056","3,963,639",$7.98,$3.00,"Mar 29, 2022",2.64%,1.8
156,"Freeport-McMoRan, Inc. Common Stock",46.93,-0.78,(-1.63%),Basic Industries,Precious Metals,"68,272,874,911","14,331,207",$2.89,$0.30,"Feb 1, 2022",0.64%,2.01
157,Northrop Grumman Corporation Common Stock,436.3,-8.31,(-1.87%),Miscellaneous,Diversified Manufacture,"68,107,273,804","1,175,925",$43.62,$6.28,"Mar 16, 2022",1.4%,0.75
158,Lam Research Corporation Common Stock,483.39,-13.68,(-2.75%),Technology,Industrial Machinery/Components,"67,432,974,125","1,038,936",$32.10,$6.00,"Apr 6, 2022",1.16%,1.25
159,"Dominion Energy, Inc. Common Stock",82.26,+0.05,(+0.06%),Public Utilities,Electric Utilities: Central,"66,668,726,605","2,462,432",$3.98,$2.67,"Mar 20, 2022",3.3%,0.4
161,Edwards Lifesciences Corporation Common Stock,103.45,-2.25,(-2.13%),Health Care,Industrial Specialties,"64,470,809,358","2,030,440",$2.39,N/A,N/A,N/A,1.15
162,Ford Motor Company Common Stock,16.04,-0.29,(-1.78%),Capital Goods,Auto Manufacturing,"64,228,130,734","54,985,888",$4.43,$0.40,"Mar 1, 2022",2.44%,1.13
163,Public Storage Common Stock,365.99,-3.68,(-1%),Consumer Services,Real Estate Investment Trusts,"64,217,428,146","455,222",$9.87,$8.00,"Mar 31, 2022",2.16%,0.24
164,Norfolk Southern Corporation Common Stock,267.34,-2.51,(-0.93%),Transportation,Railroads,"64,102,101,879","837,907",$12.12,$4.96,"Feb 21, 2022",1.88%,1.38
165,Illinois Tool Works Inc. Common Stock,203.86,-2.34,(-1.13%),Capital Goods,Industrial Machinery/Components,"63,793,285,785","886,387",$8.51,$4.88,"Apr 14, 2022",2.35%,1.11
167,Aon plc Class A Ordinary Shares,295.33,+1.73,(+0.59%),Finance,Specialty Insurers,"63,184,217,372","1,252,154",$5.57,$2.04,"Feb 15, 2022",0.7%,0.88
168,"Equinix, Inc. Common Stock REIT",693.55,-12.93,(-1.83%),Consumer Services,Real Estate Investment Trusts,"62,919,576,598","359,857",$5.54,$12.40,"Mar 23, 2022",1.76%,0.45
169,"Waste Management, Inc. Common Stock",151.47,+0.02,(+0.01%),Public Utilities,Environmental Services,"62,797,450,175","1,415,544",$4.30,$2.60,"Mar 31, 2022",1.53%,0.86
170,"Activision Blizzard, Inc. Common Stock",80.31,-0.49,(-0.61%),Technology,Computer Software: Prepackaged Software,"62,580,353,855","10,714,298",$3.45,$0.47,"May 6, 2022",0.58%,0.55
172,Colgate-Palmolive Company Common Stock,73.77,-0.07,(-0.09%),Consumer Non-Durables,Package Goods/Cosmetics,"62,002,742,367","4,278,892",$2.56,$1.80,"Feb 15, 2022",2.38%,0.63
173,Progressive Corporation,105.54,+0.87,(+0.83%),Finance,Property-Casualty Insurers,"61,724,914,489","1,652,611",$5.67,$0.40,"Apr 14, 2022",0.38%,0.46
174,"Fiserv, Inc. Common Stock",94.15,-0.90,(-0.95%),Technology,EDP Services,"61,404,338,606","2,720,970",$1.99,N/A,N/A,N/A,0.81
175,ICICI Bank Limited Common Stock,17.61,-0.05,(-0.28%),Finance,Commercial Banks,"61,164,667,330","12,102,373",$0.79,$0.049,"Sep 3, 2021",0.27%,1.13
176,Newmont Corporation,76.89,-0.39,(-0.5%),Basic Industries,Precious Metals,"60,939,129,287","6,808,632",$1.45,$2.20,"Mar 24, 2022",2.9%,0.28
177,"America Movil, S.A.B. de C.V. American Depository Receipt Series L",18.94,-0.02,(-0.11%),Public Utilities,Telecommunications Equipment,"60,931,874,000","6,624,707",$2.92,$0.393,"Nov 15, 2021",2.07%,0.91
178,Sherwin-Williams Company,233.59,-3.96,(-1.67%),Basic Industries,Paints/Coatings,"60,861,322,760","1,269,930",$6.96,$2.40,"Mar 11, 2022",0.99%,1.16
179,Schlumberger N.V. Common Stock,42.9,-0.50,(-1.15%),Energy,Oilfield Services/Equipment,"60,623,447,999","13,251,196",$1.32,$0.50,"Apr 7, 2022",1.17%,2.03
180,"America Movil, S.A.B. de C.V. Class A American Depositary Shares",18.83,+0.01,(+0.05%),Public Utilities,Telecommunications Equipment,"60,577,993,000","1,244",N/A,N/A,N/A,N/A,0.92
181,General Motors Company Common Stock,41.51,-0.34,(-0.81%),Capital Goods,Auto Manufacturing,"60,314,915,699","13,617,910",$6.71,N/A,N/A,N/A,1.21
182,Vertex Pharmaceuticals Incorporated Common Stock,236.48,-5.45,(-2.25%),Health Care,Biotechnology: Pharmaceutical Preparations,"60,202,295,888","1,374,036",$9.03,N/A,N/A,N/A,0.57
184,Boston Scientific Corporation Common Stock,41.7,-0.04,(-0.1%),Health Care,Medical/Dental Instruments,"59,494,420,490","6,175,638",$0.69,N/A,N/A,N/A,0.84
185,"Block, Inc. Class A Common Stock,",101.93,-6.94,(-6.37%),Technology,Computer Software: Prepackaged Software,"59,125,317,240","13,636,538",$0.31,N/A,N/A,N/A,2.32
186,"Eaton Corporation, PLC Ordinary Shares",146.92,-1.28,(-0.86%),Capital Goods,Industrial Machinery/Components,"58,591,696,000","1,350,025",$5.34,$3.24,"Mar 31, 2022",2.04%,1.21
187,Southern Copper Corporation Common Stock,74.07,-1.23,(-1.63%),Basic Industries,Precious Metals,"57,262,544,387","1,308,599",$4.40,$4.00,"Mar 2, 2022",5.34%,1.05
188,FedEx Corporation Common Stock,213.18,-6.10,(-2.78%),Transportation,Air Freight/Delivery Services,"56,486,164,328","2,346,301",$18.15,$3.00,"Apr 1, 2022",1.38%,1.31
189,Pioneer Natural Resources Company Common Stock,232.49,-5.26,(-2.21%),Energy,Oil & Gas Production,"56,468,104,647","2,264,472",$8.25,$2.48,"Mar 14, 2022",1.08%,1.59
190,UBS Group AG Registered Ordinary Shares,16.61,-0.03,(-0.18%),Finance,Major Banks,"56,467,483,349","7,860,909",$2.05,$0.162,"Apr 14, 2022",0.71%,1.16
191,"Workday, Inc. Class A Common Stock",224.91,-3.54,(-1.55%),Technology,Computer Software: Prepackaged Software,"56,452,410,000","1,789,032",$0.10,N/A,N/A,N/A,1.37
192,Moody's Corporation Common Stock,304.47,-9.53,(-3.04%),Technology,Advertising,"56,387,844,000","1,271,129",$11.78,$2.80,"Mar 18, 2022",0.87%,1.21
193,Canadian Imperial Bank of Commerce Common Stock,124.67,-0.08,(-0.06%),N/A,N/A,"56,221,347,141","393,702",$11.50,$5.08,"Apr 28, 2022",4.05%,1.04
194,Nutrien Ltd. Common Shares,101.4,-0.50,(-0.49%),Capital Goods,Aerospace,"55,902,110,004","4,644,146",$5.52,$1.92,"Apr 14, 2022",1.94%,0.85
195,"Moderna, Inc. Common Stock",138.2,-1.32,(-0.95%),Health Care,Biotechnology: Biological Products (No Diagnostic Substances),"55,697,393,851","5,356,440",$28.29,N/A,N/A,N/A,1.55
197,Emerson Electric Company Common Stock,93.0,-1.74,(-1.84%),Capital Goods,Industrial Machinery/Components,"55,242,000,000","3,239,766",$4.58,$2.06,"Mar 10, 2022",2.18%,1.46
198,Enterprise Products Partners L.P. Common Stock,25.22,-0.32,(-1.25%),Public Utilities,Natural Gas Distribution,"54,888,293,184","6,020,083",$2.10,$1.86,"Feb 11, 2022",7.39%,1.25
199,"Fidelity National Information Services, Inc. Common Stock",89.34,-1.07,(-1.18%),Miscellaneous,Business Services,"54,460,833,763","2,333,458",$0.68,$1.88,"Mar 25, 2022",1.7%,0.73
200,Occidental Petroleum Corporation Common Stock,57.95,-0.18,(-0.31%),Energy,Oil & Gas Production,"54,129,008,163","48,469,639",$1.56,$0.52,"Apr 15, 2022",0.9%,2.08
201,Humana Inc. Common Stock,426.12,-5.18,(-1.2%),Health Care,Medical Specialities,"54,007,847,326","618,752",$22.67,$3.15,"Apr 29, 2022",0.65%,0.95
202,Capital One Financial Corporation Common Stock,130.09,-0.17,(-0.13%),Finance,Finance Companies,"53,813,172,239","2,514,516",$26.84,$2.40,"Feb 25, 2022",1.82%,1.55
204,TC Energy Corporation Common Stock,54.68,-1.44,(-2.57%),N/A,N/A,"53,641,080,000","1,758,319",$1.50,$2.827,"Apr 29, 2022",4.93%,0.71
205,China Petroleum & Chemical Corporation Common Stock,44.23,-0.50,(-1.12%),Energy,Integrated oil Companies,"53,549,796,006","154,494",$8.80,$4.401,"Oct 7, 2021",9.89%,0.76
207,"National Grid Transco, PLC National Grid PLC",72.72,-1.72,(-2.31%),Public Utilities,Natural Gas Distribution,"53,011,834,941","672,426",N/A,$2.295,"Jan 19, 2022",3.06%,0.39
208,"MetLife, Inc. Common Stock",64.2,-0.08,(-0.12%),Finance,Life Insurance,"52,970,023,265","4,246,824",$7.32,$1.92,"Mar 14, 2022",2.98%,1.18
209,RELX PLC PLC American Depositary Shares,27.33,-0.23,(-0.83%),Consumer Services,Publishing,"52,828,011,696","2,873,687",N/A,$0.964,"Jun 10, 2022",1.38%,0.76
210,Marriott International Class A Common Stock,161.64,-0.92,(-0.57%),Consumer Services,Hotels/Resorts,"52,744,927,982","2,316,271",$3.34,N/A,N/A,N/A,1.68
211,Keurig Dr Pepper Inc. Common Stock,36.81,-0.39,(-1.05%),Consumer Non-Durables,Beverages (Production/Distribution),"52,202,409,342","6,844,868",$1.50,$0.75,"Apr 15, 2022",1.99%,0.71
212,"Banco Santander, S.A. Sponsored ADR",3.07,-0.06,(-1.92%),Finance,Commercial Banks,"51,589,364,330","12,302,205",$0.51,$0.038,"Nov 5, 2021",1.19%,1.28
214,ENI S.p.A. Common Stock,28.5,-0.75,(-2.56%),Energy,Oil & Gas Production,"50,441,532,605","696,257",$3.92,$1.305,"Jun 8, 2022",4.77%,0.93
215,Thomson Reuters Corp Ordinary Shares,103.55,+0.26,(+0.25%),N/A,N/A,"50,355,136,276","615,358",$11.43,$1.78,"Mar 15, 2022",1.7%,0.54
216,"BCE, Inc. Common Stock",55.21,+0.91,(+1.68%),N/A,N/A,"50,291,927,154","4,237,373",$2.39,$2.901,"Apr 15, 2022",5.03%,0.45
217,"American International Group, Inc. New Common Stock",57.0,+0.02,(+0.04%),Finance,Life Insurance,"49,106,966,838","3,423,624",$10.82,$1.28,"Mar 31, 2022",2.2%,1.29
219,KLA Corporation Common Stock,323.27,-5.52,(-1.68%),Capital Goods,Electronic Components,"48,721,748,932","958,881",$19.43,$4.20,"Mar 1, 2022",1.24%,1.26
220,DBA Sempra Common Stock,154.21,-1.07,(-0.69%),Public Utilities,Oil/Gas Transmission,"48,676,986,840","1,677,176",$4.11,$4.58,"Apr 15, 2022",2.89%,0.6
221,"Air Products and Chemicals, Inc. Common Stock",219.38,-8.22,(-3.61%),Basic Industries,Specialty Chemicals,"48,640,360,360","1,488,884",$9.79,$6.48,"May 9, 2022",2.64%,0.87
222,Centene Corporation Common Stock,83.41,-1.03,(-1.22%),Health Care,Medical Specialities,"48,616,842,217","2,202,130",$2.27,N/A,N/A,N/A,0.52
223,"L3Harris Technologies, Inc. Common Stock",250.0,-4.00,(-1.57%),Capital Goods,Industrial Machinery/Components,"48,266,474,750","2,113,059",$9.11,$4.48,"Mar 25, 2022",1.6%,0.77
224,"American Electric Power Company, Inc. Common Stock",95.54,-0.45,(-0.47%),Public Utilities,Electric Utilities: Central,"48,172,415,913","2,254,945",$4.98,$3.12,"Mar 10, 2022",3.28%,0.34
225,"Illumina, Inc. Common Stock",303.87,-12.17,(-3.85%),Health Care,Medical Specialities,"47,707,590,000","642,681",$5.05,N/A,N/A,N/A,0.92
226,Dollar General Corporation Common Stock,205.55,-0.53,(-0.26%),Consumer Services,Department/Specialty Retail Stores,"47,627,271,897","2,362,701",$10.21,$1.68,"Jan 18, 2022",0.81%,0.59
227,"Banco Santander Brasil SA American Depositary Shares, each representing one unit",6.34,-0.02,(-0.31%),Finance,Commercial Banks,"47,540,686,863","1,072,017",$0.41,$0.231,"Mar 11, 2022",3.59%,0.88
228,Itau Unibanco Banco Holding SA American Depositary Shares,4.85,-0.12,(-2.41%),Finance,Commercial Banks,"47,432,469,522","49,964,789",$0.51,$0.035,"May 12, 2022",0.68%,0.66
229,Archer-Daniels-Midland Company Common Stock,83.6,-0.71,(-0.84%),N/A,N/A,"46,997,125,419","3,017,212",$4.79,$1.60,"Mar 1, 2022",1.96%,0.78
230,NXP Semiconductors N.V. Common Stock,178.56,-1.94,(-1.07%),Technology,Semiconductors,"46,878,813,135","2,176,907",$6.82,$3.38,"Apr 6, 2022",1.23%,1.41
231,"Vmware, Inc. Common stock, Class A",110.6,-3.41,(-2.99%),Technology,Computer Software: Prepackaged Software,"46,320,164,800","1,375,865",$4.31,N/A,N/A,N/A,0.69
232,Cognizant Technology Solutions Corporation Class A Common Stock,88.04,+0.38,(+0.43%),Technology,EDP Services,"46,180,046,257","3,576,086",$4.05,$1.08,"Mar 1, 2022",1.23%,1.1
233,The Kraft Heinz Company Common Stock,37.36,-0.18,(-0.48%),Consumer Non-Durables,Farming/Seeds/Milling,"45,718,933,984","4,722,638",$0.82,$1.60,"Mar 25, 2022",4.19%,0.97
234,Stellantis N.V. Common Shares,14.59,-0.36,(-2.41%),Capital Goods,Auto Manufacturing,"45,707,665,569","5,814,727",$0.15,N/A,N/A,N/A,0.71
235,"Roper Technologies, Inc. Common Stock",432.31,-4.08,(-0.93%),Capital Goods,Office Equipment/Supplies/Services,"45,653,161,599","440,653",$10.83,$2.48,"Jan 24, 2022",0.56%,1.07
236,Ecolab Inc. Common Stock,158.85,-3.63,(-2.23%),Consumer Non-Durables,Package Goods/Cosmetics,"45,550,480,699","1,301,966",$3.91,$2.04,"Apr 15, 2022",1.24%,1.09
237,Suncor Energy Inc. Common Stock,31.76,+0.07,(+0.22%),N/A,N/A,"45,462,240,811","7,622,348",$2.22,$1.325,"Mar 25, 2022",4.24%,1.54
238,"Honda Motor Company, Ltd. Common Stock",26.45,-0.73,(-2.69%),Capital Goods,Auto Manufacturing,"45,272,847,239","1,408,532",$4.22,$0.778,"Dec 8, 2021",2.85%,0.72
239,Takeda Pharmaceutical Company Limited American Depositary Shares,14.43,-0.07,(-0.48%),Health Care,Biotechnology: Pharmaceutical Preparations,"45,216,154,640","2,164,127",$1.47,$0.664,"Dec 13, 2021",4.61%,0.81
241,"Synopsys, Inc. Common Stock",293.69,-7.15,(-2.38%),Technology,EDP Services,"44,963,562,196","953,157",$5.78,N/A,N/A,N/A,1.17
242,"O'Reilly Automotive, Inc. Common Stock",675.11,-0.47,(-0.07%),Consumer Services,Other Specialty Stores,"44,962,945,751","404,854",$31.10,N/A,N/A,N/A,1.02
243,"MercadoLibre, Inc. Common Stock",891.69,-39.60,(-4.25%),Consumer Services,Catalog/Specialty Distribution,"44,958,100,276","575,187",$1.69,N/A,N/A,N/A,1.51
244,"Fortinet, Inc. Common Stock",279.13,-7.63,(-2.66%),Miscellaneous,Diversified Manufacture,"44,888,415,442","1,369,052",$3.62,N/A,N/A,N/A,1.16
245,Dow Inc. Common Stock,60.91,+0.28,(+0.46%),Basic Industries,Industrial Specialties,"44,774,079,306","6,140,222",$8.38,$2.80,"Mar 11, 2022",4.68%,1.49
246,China Life Insurance Company Limited American Depositary Shares,7.48,-0.15,(-1.97%),Finance,Life Insurance,"44,510,398,240","1,095,968",$1.41,$0.424,"Sep 2, 2021",5.47%,0.93
247,Marathon Petroleum Corporation Common Stock,78.51,+0.58,(+0.74%),Energy,Integrated oil Companies,"44,374,869,333","8,530,014",$14.99,$2.32,"Mar 10, 2022",3.08%,1.92
248,Amphenol Corporation Common Stock,73.61,-0.66,(-0.89%),Capital Goods,Electrical Products,"44,087,956,691","2,296,312",$2.54,$0.80,"Apr 13, 2022",1.07%,1.27
250,"Paychex, Inc. Common Stock",120.59,-1.60,(-1.31%),Miscellaneous,Business Services,"43,503,685,424","1,071,014",$3.53,$2.64,"Feb 24, 2022",2.16%,0.97
251,Barrick Gold Corporation Common Stock,24.35,-0.14,(-0.57%),N/A,N/A,"43,326,710,751","19,900,986",$1.14,$0.40,"Mar 15, 2022",1.64%,0.25
252,Exelon Corporation Common Stock,43.63,+0.03,(+0.07%),Public Utilities,Power Generation,"42,763,375,914","6,407,446",$1.71,$1.35,"Mar 10, 2022",3.1%,0.47
253,"Simon Property Group, Inc. Common Stock",130.05,-2.56,(-1.93%),Consumer Services,Real Estate Investment Trusts,"42,733,924,236","2,548,218",$6.84,$6.60,"Mar 31, 2022",4.98%,1.51
254,Johnson Controls International plc Ordinary Share,60.48,-0.98,(-1.59%),Capital Goods,Industrial Machinery/Components,"42,479,725,519","4,916,502",$2.20,$1.40,"Apr 14, 2022",2.17%,1.16
255,"Autodesk, Inc. Common Stock",192.31,-7.48,(-3.74%),Technology,Computer Software: Prepackaged Software,"42,303,087,823","1,987,062",$2.23,N/A,N/A,N/A,1.46
256,Vodafone Group Plc American Depositary Shares,15.69,-0.10,(-0.63%),Public Utilities,Telecommunications Equipment,13.27,"8,319,191","Nov 24, 2021","Feb 4, 2022",0.82,"Nov 16, 2011",$0.64
257,McKesson Corporation Common Stock,281.23,+1.11,(+0.4%),Health Care,Other Pharmaceuticals,"42,127,797,845","1,018,951",$8.89,$1.88,"Apr 1, 2022",0.68%,0.7
258,The Hershey Company Common Stock,204.69,-0.45,(-0.22%),Consumer Non-Durables,Specialty Foods,"42,010,954,891","815,415",$7.11,$3.604,"Mar 15, 2022",1.76%,0.39
259,"IDEXX Laboratories, Inc. Common Stock",498.08,-26.36,(-5.03%),Health Care,Biotechnology: In Vitro & In Vivo Diagnostic Substances,"41,962,784,257","334,124",$8.61,N/A,N/A,N/A,1
260,"The Travelers Companies, Inc. Common Stock",173.73,+1.84,(+1.07%),Finance,Property-Casualty Insurers,"41,955,922,170","1,391,651",$14.52,$3.52,"Mar 31, 2022",2.05%,0.69
261,"Coinbase Global, Inc. Class A Common Stock",160.07,-12.90,(-7.46%),Technology,EDP Services,"41,922,333,000","3,660,530",$14.41,N/A,N/A,N/A,2.87
262,TE Connectivity Ltd. New Switzerland Registered Shares,127.42,-2.87,(-2.2%),Capital Goods,Industrial Machinery/Components,"41,484,795,170","3,146,981",$7.37,$2.24,"Jun 3, 2022",1.53%,1.35
263,"Baidu, Inc. ADS",118.92,-16.24,(-12.02%),Technology,"Computer Software: Programming, Data Processing","41,391,137,631","7,837,318",$4.23,N/A,N/A,N/A,0.95
264,"Chipotle Mexican Grill, Inc. Common Stock",1475.41,+6.38,(+0.43%),Consumer Services,Restaurants,"41,358,616,399","591,804",$22.92,N/A,N/A,N/A,1.31
265,Wipro Limited Common Stock,7.54,-0.03,(-0.4%),Technology,EDP Services,"41,214,390,260","2,362,642",$0.29,$0.012,"Feb 17, 2022",0.16%,0.78
266,"Kinder Morgan, Inc. Common Stock",18.1,-0.45,(-2.43%),Public Utilities,Natural Gas Distribution,"40,988,944,752","13,600,456",$0.78,$1.08,"Feb 15, 2022",5.89%,0.94
267,"Walgreens Boots Alliance, Inc. Common Stock",47.44,-0.63,(-1.31%),Health Care,Medical/Nursing Services,"40,953,624,961","5,737,993",$7.42,$1.91,"Mar 11, 2022",3.97%,0.56
269,Welltower Inc. Common Stock,91.21,+0.77,(+0.85%),Consumer Services,Real Estate Investment Trusts,"40,802,098,936","2,790,209",$0.78,$2.44,"Mar 8, 2022",2.75%,0.98
270,Lloyds Banking Group Plc American Depositary Shares,2.31,-0.01,(-0.43%),Finance,Commercial Banks,"40,800,922,193","13,230,360",$0.41,$0.074,"Sep 23, 2021",3.12%,1.39
271,"IQVIA Holdings, Inc. Common Stock",213.61,-3.33,(-1.53%),Health Care,Managed Health Care,"40,781,368,744","572,504",$4.96,N/A,N/A,N/A,1.46
272,Kroger Company,55.89,-1.20,(-2.1%),Consumer Services,Food Chains,"40,576,140,000","5,620,964",$2.18,$0.84,"Mar 1, 2022",1.52%,0.43
273,The Bank of New York Mellon Corporation Common Stock,50.0,Unchanged,,Finance,Investment Managers,"40,355,311,700","5,755,471",$4.15,$1.36,"Feb 11, 2022",2.61%,1.14
275,"Cadence Design Systems, Inc. Common Stock",144.91,-4.55,(-3.04%),Technology,Computer Software: Prepackaged Software,"40,188,759,760","1,382,365",$2.49,N/A,N/A,N/A,1.12
276,"Republic Services, Inc. Common Stock",126.54,-0.25,(-0.2%),Public Utilities,Environmental Services,"40,041,222,902","899,082",$4.04,$1.84,"Apr 14, 2022",1.46%,0.8
277,"Prudential Financial, Inc. Common Stock",106.05,-0.10,(-0.09%),Finance,Life Insurance,"39,874,800,000","1,633,055",$19.41,$4.80,"Mar 11, 2022",4.49%,1.54
280,Kimberly-Clark Corporation Common Stock,117.53,-2.26,(-1.89%),Basic Industries,Paper,"39,599,192,619","2,513,550",$5.36,$4.64,"Apr 4, 2022",3.76%,0.51
281,Hilton Worldwide Holdings Inc. Common Stock,141.77,-1.17,(-0.82%),Consumer Services,Hotels/Resorts,"39,573,547,655","1,684,843",$1.45,N/A,N/A,N/A,1.26
282,Sysco Corporation Common Stock,77.82,-2.16,(-2.7%),Consumer Non-Durables,Food Distributors,"39,489,561,648","1,768,656",$1.52,$1.88,"Apr 22, 2022",2.36%,1.29
283,"Agilent Technologies, Inc. Common Stock",130.31,-4.02,(-2.99%),Capital Goods,Electrical Products,"39,107,774,157","1,815,769",$3.94,$0.84,"Apr 27, 2022",0.63%,1.05
284,Banco Bradesco Sa American Depositary Shares,4.03,-0.07,(-1.71%),Finance,Commercial Banks,"39,048,824,325","36,619,413",$0.41,$0.032,"Apr 8, 2022",0.78%,0.73
285,"Corteva, Inc. Common Stock",53.65,+0.06,(+0.11%),Basic Industries,Major Chemicals,"39,004,676,650","4,039,079",$2.37,$0.56,"Mar 15, 2022",1.09%,0.71
286,AFLAC Incorporated Common Stock,59.96,Unchanged,,Finance,Accident &Health Insurance,"38,965,658,065","2,228,551",$6.38,$1.60,"Mar 1, 2022",2.65%,0.94
287,Devon Energy Corporation Common Stock,58.64,-1.93,(-3.19%),Energy,Oil & Gas Production,"38,948,688,000","10,834,414",$4.17,$4.00,"Mar 31, 2022",0.75%,2.81
288,"Williams Companies, Inc.",31.9,-0.59,(-1.82%),Public Utilities,Natural Gas Distribution,"38,777,410,033","7,684,908",$1.24,$1.70,"Mar 28, 2022",5.05%,1.26
289,Monster Beverage Corporation,73.22,-2.17,(-2.88%),Consumer Non-Durables,Beverages (Production/Distribution),"38,759,655,729","1,687,512",$2.57,N/A,N/A,N/A,1.15
290,Realty Income Corporation Common Stock,65.35,+0.53,(+0.82%),Consumer Services,Real Estate Investment Trusts,"38,642,798,139","3,451,903",$0.94,$2.958,"Mar 15, 2022",4.54%,0.8
291,Baxter International Inc. Common Stock,76.85,-2.13,(-2.7%),Health Care,Medical/Dental Instruments,"38,601,265,004","3,832,975",$2.53,$1.12,"Apr 1, 2022",1.4%,0.62
292,"Digital Realty Trust, Inc. Common Stock",135.68,+0.39,(+0.29%),Consumer Services,Real Estate Investment Trusts,"38,596,767,895","1,412,555",$5.92,$4.88,"Mar 31, 2022",3.43%,0.32
293,Manulife Financial Corporation Common Stock,19.83,+0.24,(+1.23%),Technology,Advertising,"38,523,868,071","4,001,902",$2.84,$1.039,"Mar 21, 2022",5.29%,1.25
294,Microchip Technology Incorporated Common Stock,69.04,-0.81,(-1.16%),Technology,Semiconductors,"38,385,599,930","3,528,704",$1.70,$1.012,"Mar 8, 2022",1.43%,1.56
295,Cintas Corporation Common Stock,369.3,-0.45,(-0.12%),Miscellaneous,Business Services,33.86,"371,905","Feb 14, 2022","Mar 15, 2022",1.5,"Nov 5, 2014",$0.85
296,Xcel Energy Inc. Common Stock,70.37,+0.21,(+0.3%),Public Utilities,Power Generation,"38,296,320,180","3,031,491",$2.96,$1.95,"Apr 20, 2022",2.62%,0.34
297,HP Inc. Common Stock,36.29,+0.14,(+0.39%),Technology,Computer Manufacturing,"38,226,644,882","13,238,431",$5.60,$1.00,"Apr 6, 2022",2.77%,0.98
298,Prudential Public Limited Company Common Stock,27.6,-0.83,(-2.92%),Finance,Life Insurance,"37,900,504,064","486,698",N/A,$0.215,"Sep 28, 2021",0.73%,1.53
299,"Lucid Group, Inc. Common Stock",22.92,-1.29,(-5.33%),Capital Goods,Auto Manufacturing,"37,892,650,646","18,824,699",N/A,N/A,N/A,N/A,0.77
300,"DexCom, Inc. Common Stock",390.26,-15.32,(-3.78%),Health Care,Medical Specialities,"37,880,834,325","607,547",$1.55,N/A,N/A,N/A,0.89
301,lululemon athletica inc. Common Stock,291.55,-10.19,(-3.38%),N/A,N/A,"37,695,640,918","978,426",$6.66,N/A,N/A,N/A,1.34
302,"General Mills, Inc. Common Stock",62.27,-0.83,(-1.32%),Consumer Services,Food Chains,"37,561,681,209","3,535,517",$3.63,$2.04,"May 2, 2022",3.18%,0.53
303,W.R. Berkley Corporation Common Stock,94.4,+1.59,(+1.71%),Finance,Property-Casualty Insurers,"37,550,386,405","869,163",$5.49,$0.52,"Mar 23, 2022",0.57%,0.78
304,Valero Energy Corporation Common Stock,91.67,+2.09,(+2.33%),Energy,Integrated oil Companies,"37,520,863,762","6,776,752",$2.25,$3.92,"Mar 3, 2022",4.5%,1.97
305,"Motorola Solutions, Inc. Common Stock",221.77,-0.53,(-0.24%),Technology,Radio And Television Broadcasting And Communications Equipment,"37,303,729,668","932,990",$7.16,$3.16,"Apr 14, 2022",1.43%,0.86
306,"AutoZone, Inc. Common Stock",1864.59,-3.31,(-0.18%),N/A,N/A,"37,230,268,530","98,045",$110.19,N/A,N/A,N/A,0.91
307,"DuPont de Nemours, Inc. Common Stock",72.49,+0.41,(+0.57%),Capital Goods,Wholesale Distributors,"37,180,663,515","3,720,303",$10.94,$1.32,"Mar 15, 2022",1.82%,1.29
308,MSCI Inc Common Stock,456.63,-8.63,(-1.85%),Technology,Advertising,"37,109,495,883","662,595",$8.70,$4.16,"Feb 28, 2022",0.85%,1.01
309,"Arista Networks, Inc. Common Stock",119.91,-1.00,(-0.83%),Technology,Computer peripheral equipment,"36,904,290,368","1,437,536",$2.64,N/A,N/A,N/A,1.2
310,Carrier Global Corporation Common Stock,43.22,-0.59,(-1.35%),Capital Goods,Wholesale Distributors,"36,866,944,949","3,770,869",$1.87,$0.60,"Feb 10, 2022",1.35%,0.9
311,Ecopetrol S.A. American Depositary Shares,17.82,+0.16,(+0.91%),Energy,Oil & Gas Production,"36,634,974,960","1,687,490",$1.47,$0.086,"Apr 30, 2021",0.49%,1.64
312,Nucor Corporation Common Stock,135.25,+1.69,(+1.27%),Basic Industries,Steel/Iron Ore,"36,399,137,721","2,683,234",$23.39,$2.00,"May 11, 2022",1.54%,1.32
315,Telus Corporation Ordinary Shares,26.16,+0.13,(+0.5%),N/A,N/A,"35,844,821,313","1,231,504",$0.96,$1.033,"Apr 1, 2022",3.92%,0.65
316,Global Payments Inc. Common Stock,126.99,-0.13,(-0.1%),Miscellaneous,Business Services,"35,807,117,082","1,131,036",$3.28,$1.00,"Mar 25, 2022",0.78%,1.06
